Image_path,Label
airplane_1000.png,0
airplane_1001.png,0
airplane_1002.png,0
airplane_1003.png,0
airplane_1004.png,0
airplane_1005.png,0
airplane_1006.png,0
airplane_1007.png,0
airplane_1008.png,0
airplane_1009.png,0
airplane_1010.png,0
airplane_1011.png,0
airplane_1012.png,0
airplane_1013.png,0
airplane_1014.png,0
airplane_1015.png,0
airplane_1016.png,0
airplane_1017.png,0
airplane_1018.png,0
airplane_1019.png,0
airplane_1020.png,0
airplane_1021.png,0
airplane_1022.png,0
airplane_1023.png,0
airplane_1024.png,0
airplane_1025.png,0
airplane_1026.png,0
airplane_1027.png,0
airplane_1028.png,0
airplane_1029.png,0
airplane_1030.png,0
airplane_1031.png,0
airplane_1032.png,0
airplane_1033.png,0
airplane_1034.png,0
airplane_1035.png,0
airplane_1036.png,0
airplane_1037.png,0
airplane_1038.png,0
airplane_1039.png,0
airplane_1040.png,0
airplane_1041.png,0
airplane_1042.png,0
airplane_1043.png,0
airplane_1044.png,0
airplane_1045.png,0
airplane_1046.png,0
airplane_1047.png,0
airplane_1048.png,0
airplane_1049.png,0
airplane_1050.png,0
airplane_1051.png,0
airplane_1052.png,0
airplane_1053.png,0
airplane_1054.png,0
airplane_1055.png,0
airplane_1056.png,0
airplane_1057.png,0
airplane_1058.png,0
airplane_1059.png,0
airplane_1060.png,0
airplane_1061.png,0
airplane_1062.png,0
airplane_1063.png,0
airplane_1064.png,0
airplane_1065.png,0
airplane_1066.png,0
airplane_1067.png,0
airplane_1068.png,0
airplane_1069.png,0
airplane_1070.png,0
airplane_1071.png,0
airplane_1072.png,0
airplane_1073.png,0
airplane_1074.png,0
airplane_1075.png,0
airplane_1076.png,0
airplane_1077.png,0
airplane_1078.png,0
airplane_1079.png,0
airplane_1080.png,0
airplane_1081.png,0
airplane_1082.png,0
airplane_1083.png,0
airplane_1084.png,0
airplane_1085.png,0
airplane_1086.png,0
airplane_1087.png,0
airplane_1088.png,0
airplane_1089.png,0
airplane_1090.png,0
airplane_1091.png,0
airplane_1092.png,0
airplane_1093.png,0
airplane_1094.png,0
airplane_1095.png,0
airplane_1096.png,0
airplane_1097.png,0
airplane_1098.png,0
airplane_1099.png,0
airplane_1100.png,0
airplane_1101.png,0
airplane_1102.png,0
airplane_1103.png,0
airplane_1104.png,0
airplane_1105.png,0
airplane_1106.png,0
airplane_1107.png,0
airplane_1108.png,0
airplane_1109.png,0
airplane_1110.png,0
airplane_1111.png,0
airplane_1112.png,0
airplane_1113.png,0
airplane_1114.png,0
airplane_1115.png,0
airplane_1116.png,0
airplane_1117.png,0
airplane_1118.png,0
airplane_1119.png,0
airplane_1120.png,0
airplane_1121.png,0
airplane_1122.png,0
airplane_1123.png,0
airplane_1124.png,0
airplane_1125.png,0
airplane_1126.png,0
airplane_1127.png,0
airplane_1128.png,0
airplane_1129.png,0
airplane_1130.png,0
airplane_1131.png,0
airplane_1132.png,0
airplane_1133.png,0
airplane_1134.png,0
airplane_1135.png,0
airplane_1136.png,0
airplane_1137.png,0
airplane_1138.png,0
airplane_1139.png,0
airplane_1140.png,0
airplane_1141.png,0
airplane_1142.png,0
airplane_1143.png,0
airplane_1144.png,0
airplane_1145.png,0
airplane_1146.png,0
airplane_1147.png,0
airplane_1148.png,0
airplane_1149.png,0
airplane_1150.png,0
